mm,day,yyyy,HH_UTC,MM,umean1,umean,wind_dir,z0,ol,u_star,sigma_v,Zm_1,Zm_2
3,23,2009,4,4,0.25,1,1,63818,0.97356,0.019128,0.52,2.83,5.66
2,20,2009,5,4,1.25,1.95,1,0.0059856,2.3977,0.041245,0.65,2.83,5.66
12,20,2009,17,3,0.9,1.45,1,0.1286,4.0612,0.055067,0.26,2.83,5.66
2,21,2009,5,5,0.5,1.4,1,10.644,4.7402,0.097033,0.45,2.83,5.66
2,20,2009,3,5,0.3,1,1,3.8387,14.514,0.16577,0.59,2.83,5.66
4,2,2009,17,2,1.3,1.85,1,0.21008,19.278,0.15452,0.06,2.83,5.66
4,22,2009,16,5,0.5,1.3,1,2.8012,20.713,0.23964,0.68,2.83,5.66
12,2,2009,7,1,0.4,1.25,1,3.0013,21.833,0.25198,0.05,2.83,5.66
12,24,2009,17,1,0.4,1.15,1,2.8512,22.053,0.22506,0.65,2.83,5.66
12,6,2009,15,5,0.35,1.05,1,2.7754,25.434,0.22371,0.21,2.83,5.66
11,18,2009,3,1,0.6,1.85,1,2.6011,33.474,0.44852,0.2,2.83,5.66
12,22,2009,21,0,1.25,2,1,0.69073,38.257,0.28301,0.46,2.83,5.66
1,27,2009,17,3,0.45,1.3,1,2.3998,41.823,0.33246,0.6,2.83,5.66
2,1,2009,3,3,0.5,1.55,1,2.4169,47.824,0.42721,0.51,2.83,5.66
2,20,2009,0,1,0.65,1.85,1,2.3072,50.432,0.49922,0.19,2.83,5.66
11,5,2009,16,1,0.85,1.5,1,1.0412,51.648,0.27369,0.31,2.83,5.66
11,7,2009,16,3,0.6,1.7,1,2.1935,72.495,0.50363,0.65,2.83,5.66
3,9,2009,16,4,0.4,1.1,1,2.1114,96.877,0.34174,0.46,2.83,5.66
12,24,2009,16,4,2.55,3.15,1,0.10451,134.8,0.30785,0.12,2.83,5.66
3,9,2009,17,0,1.35,2.1,1,0.84324,1495.8,0.44327,0.28,2.83,5.66
2,20,2009,20,1,0.4,1.05,2,27822,0.82125,0.014669,0.1,2.83,5.66
12,15,2009,16,3,0.55,1.35,2,201.38,1.6908,0.037344,0,2.83,5.66
2,1,2009,4,3,0.35,1.05,2,123.42,2.0215,0.035373,0.44,2.83,5.66
12,19,2009,17,1,1.7,2.15,2,3.48E-09,2.3267,0.025661,0.35,2.83,5.66
1,31,2009,6,4,0.2,0.85,2,53.026,3.2712,0.05108,0.3,2.83,5.66
2,2,2009,0,0,0.25,0.95,2,23.716,4.0588,0.065423,0.34,2.83,5.66
12,2,2009,5,5,0.1,0.65,2,21.612,5.6199,0.072076,0.17,2.83,5.66
1,31,2009,3,3,1.05,1.7,2,0.23699,6.0277,0.08775,0.7,2.83,5.66
12,23,2009,8,1,0.65,1.3,2,1.9351,8.2853,0.12346,0.5,2.83,5.66
1,6,2009,20,5,0.9,1.3,2,0.10156,10.138,0.075481,0.22,2.83,5.66
12,20,2009,16,3,1.2,1.9,2,0.49852,19.463,0.19576,0.34,2.83,5.66
2,21,2009,6,3,0.35,1.15,2,2.9227,25.456,0.25547,0.2,2.83,5.66
12,23,2009,10,2,2,2.6,2,0.11891,39.791,0.22988,0.06,2.83,5.66
2,21,2009,1,0,1.65,2.5,2,0.66899,150.59,0.44308,0.16,2.83,5.66
1,12,2009,0,2,1.3,2.4,2,1.2227,160.39,0.58541,0.27,2.83,5.66
7,6,2009,23,3,2.35,2.9,3,4.80E-85,0.22753,0.0035761,0.38,2.83,5.66
2,1,2009,2,5,0.5,1.4,3,6.38E+14,0.24036,0.0059446,0.65,2.83,5.66
4,1,2009,16,4,3.2,3.4,3,0.0004602,2.6465,0.073351,0.58,2.83,5.66
12,24,2009,7,5,0.75,1.85,3,7.1405,5.9493,0.15128,0.33,2.83,5.66
10,27,2009,15,5,0.6,1.45,3,5.9638,6.9189,0.13331,0.21,2.83,5.66
9,19,2009,18,1,0.5,1.25,3,5.6915,7.1732,0.11781,0.35,2.83,5.66
2,15,2009,23,3,0.1,0.75,3,13.799,7.4317,0.10781,0.24,2.83,5.66
2,23,2009,23,0,0.65,0.65,3,36.485,11.309,-1.2055,0.49,2.83,5.66
2,12,2009,4,0,0.55,1.5,3,3.5896,12.917,0.21414,0.17,2.83,5.66
10,3,2009,0,3,0.35,1.15,3,2.8738,26.758,0.26136,0.56,2.83,5.66
12,15,2009,16,4,0.75,1.9,3,2.4622,30.732,0.41731,0.01,2.83,5.66
2,22,2009,4,4,0.3,0.85,3,2.3294,47.096,0.22423,0.47,2.83,5.66
1,27,2009,17,4,0.6,1.55,3,2.2031,55.89,0.41784,0.26,2.83,5.66
