mm,day,yyyy,HH_UTC,MM,umean1,umean,wind_dir,z0,ol,u_star,sigma_v,Zm_1,Zm_2
1,1,2009,9,4,3.95,4.4,357,0.011764,-105.02,0.30006,0.17,2.83,5.66
1,1,2009,10,2,3.55,4.05,356,0.14638,-6.0125,0.6383,0.42,2.83,5.66
1,1,2009,11,1,5.9,6.9,23,0.15149,-22.011,0.91014,0.25,2.83,5.66
1,1,2009,11,5,2.4,2.95,30,0.18249,-85.722,0.37356,0.13,2.83,5.66
1,1,2009,13,0,3.95,4.95,33,0.33813,-23.62,0.87134,0.57,2.83,5.66
1,3,2009,11,5,1.45,1.5,60,0.4356,-6.7432,0.43272,0.11,2.83,5.66
1,5,2009,9,0,0.8,0.95,184,0.16007,-1.3281,0.2366,0.53,2.83,5.66
1,5,2009,15,4,1.95,2.85,239,0.63709,-1926.5,0.54572,0.25,2.83,5.66
1,6,2009,9,4,3.7,3.85,347,0.00017108,-5.403,0.16968,0.24,2.83,5.66
1,6,2009,9,5,1.5,2.1,356,1.0072,-15.647,0.81361,0.62,2.83,5.66
1,6,2009,10,0,3.25,4.3,351,0.54212,-21.632,0.96483,0.31,2.83,5.66
1,6,2009,10,2,2.75,2.7,6,12.709,-36.851,-0.74751,0.52,2.83,5.66
1,6,2009,10,3,4.35,5,4,0.15266,-3.3708,0.9082,0.14,2.83,5.66
1,6,2009,10,5,3.5,4.1,22,0.19025,-2.936,0.85794,0.37,2.83,5.66
1,6,2009,11,0,3.9,5.4,12,0.48979,-382.55,0.92337,0.64,2.83,5.66
1,6,2009,11,2,3.4,4,37,0.087742,-126.09,0.40594,0.17,2.83,5.66
1,6,2009,11,4,3.05,3.45,35,0.072529,-7.5291,0.41455,0.7,2.83,5.66
1,6,2009,11,5,2.85,3.85,5,0.50994,-40.584,0.76281,0.34,2.83,5.66
1,6,2009,12,0,2.75,3.5,0,0.38066,-8.4035,0.7931,0.09,2.83,5.66
1,6,2009,12,1,3.9,4.45,16,0.046649,-40.356,0.41025,0.45,2.83,5.66
1,6,2009,12,2,2,2.35,33,0.11314,-27.097,0.27884,0.34,2.83,5.66
1,6,2009,12,3,1.65,2.3,33,0.62571,-27.479,0.53589,0.17,2.83,5.66
1,6,2009,12,4,2.25,3.25,48,0.64133,-147.24,0.64824,0.65,2.83,5.66
1,6,2009,12,5,0.8,1.45,352,1.1998,-151.69,0.4205,0.34,2.83,5.66
1,6,2009,13,0,3.55,4.2,27,0.17904,-9.0104,0.66381,0.23,2.83,5.66
1,6,2009,13,2,3.1,3.9,11,0.2772,-33.738,0.61249,0.18,2.83,5.66
1,6,2009,14,1,3.15,3.95,355,0.30008,-36.686,0.62873,0.42,2.83,5.66
1,6,2009,14,2,3.1,4.25,39,0.52186,-73.05,0.80352,0.15,2.83,5.66
1,6,2009,14,5,2.1,2.25,45,0.017914,-1.0509,0.25053,0.28,2.83,5.66
1,6,2009,15,0,2.65,2.85,5,0.064822,-10.37,0.32197,0.47,2.83,5.66
1,6,2009,15,1,1.25,1.6,27,0.29729,-75.118,0.24277,0.43,2.83,5.66
